step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
1,800,1,1,3,2.375415361,0.03950472965;0.03669766359;0.02615574413;9.399303305,2.406298435;2.356403653;2.363543994,biomass;glucose;product;gp_nll,run_3;run_1;run_2,5.569838,0,,,2.375415361,5.569838,2.331640907,0,
2,800,2,1,6,2.350580011,0.03866135173;0.03564872858;0.02552445343;9.302485509,2.38036846;2.339239788;2.332131784,biomass;glucose;product;gp_nll,run_3;run_2;run_1,22.142588,0,,,2.350580011,22.142588,2.304530119,0,
3,800,3,1,9,2.325913791,0.03753529916;0.03456584621;0.02472329748;9.206830722,2.354475914;2.308113215;2.315152245,biomass;glucose;product;gp_nll,run_3;run_1;run_2,3.890149,0,,,2.325913791,3.890149,2.277955822,0,
4,800,4,1,12,2.301414701,0.03626520678;0.0334279008;0.02383541307;9.112130282,2.291250149;2.328658805;2.284335149,biomass;glucose;product;gp_nll,run_2;run_3;run_1,5.320439,0,,,2.301414701,5.320439,2.251596862,0,
5,800,5,1,15,2.277088687,0.03484506435;0.03224602226;0.02285799618;9.018405664,2.260800458;2.302926285;2.267539318,biomass;glucose;product;gp_nll,run_1;run_3;run_2,5.480791,0,,,2.277088687,5.480791,2.22550481,0,
6,800,6,1,18,2.252942988,0.0332791588;0.03103070449;0.02179453129;8.925667557,2.23751125;2.277292282;2.244025432,biomass;glucose;product;gp_nll,run_1;run_3;run_2,4.290185,0,,,2.252942988,4.290185,2.199710975,0,
7,800,7,1,21,2.228987953,0.03158033266;0.02979472616;0.02065365921;8.833923094,2.214469374;2.251779931;2.220714553,biomass;glucose;product;gp_nll,run_1;run_3;run_2,5.422335,0,,,2.228987953,5.422335,2.174250777,0,
8,800,8,1,24,2.205234359,0.0297636034;0.02855054549;0.01944544806;8.743177837,2.226412406;2.19761411;2.191676559,biomass;glucose;product;gp_nll,run_3;run_2;run_1,6.165991,0,,,2.205234359,6.165991,2.149151597,0,
9,800,9,1,27,2.18169459,0.02784872247;0.02731034858;0.01818280445;8.653436486,2.174731764;2.201217545;2.169134462,biomass;glucose;product;gp_nll,run_2;run_3;run_1,6.027863,0,,,2.18169459,6.027863,2.124440569,0,
10,800,10,1,30,2.158382364,0.02585901619;0.02608646667;0.01688081147;8.56470316,2.176226531;2.152075882;2.146844677,biomass;glucose;product;gp_nll,run_3;run_2;run_1,6.256960,0,,,2.158382364,6.256960,2.100144079,0,
11,800,11,1,33,2.135312212,0.02382053164;0.02489063738;0.01555613744;8.476981542,2.12480875;2.151473447;2.129654439,biomass;glucose;product;gp_nll,run_1;run_3;run_2,6.816996,0,,,2.135312212,6.816996,2.076286628,0,
12,800,12,1,36,2.112499756,0.02176252674;0.02373414459;0.01422739342;8.390274959,2.103028158;2.107476274;2.126994836,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.755745,0,,,2.112499756,6.755745,2.052892057,0,
13,800,13,1,39,2.0899608,0.01971569094;0.0226270945;0.01291397114;8.304586443,2.085549663;2.081504305;2.102828431,biomass;glucose;product;gp_nll,run_2;run_1;run_3,5.716155,0,,,2.0899608,5.716155,2.02998009,0,
14,800,14,1,42,2.06771066,0.01771081235;0.02157783128;0.0116352258;8.219918771,2.060238513;2.06388234;2.079011128,biomass;glucose;product;gp_nll,run_1;run_2;run_3,5.260487,0,,,2.06771066,5.260487,2.007564255,0,
15,800,15,1,45,2.045763932,0.01577822956;0.02059287355;0.01041013975;8.136274486,2.042481304;2.055578496;2.039231997,biomass;glucose;product;gp_nll,run_2;run_3;run_1,6.464964,0,,,2.045763932,6.464964,1.98565264,0,
16,800,16,1,48,2.024133577,0.01394583019;0.0196765051;0.009256080844;8.053655893,2.018485841;2.032562258;2.021352632,biomass;glucose;product;gp_nll,run_1;run_3;run_2,6.329598,0,,,2.024133577,6.329598,1.964245063,0,
17,800,17,1,51,2.002830256,0.01223750254;0.01883067139;0.008187830662;7.972065019,2.00998851;2.000501249;1.998001008,biomass;glucose;product;gp_nll,run_3;run_2;run_1,5.694378,0,,,2.002830256,5.694378,1.943331886,0,
18,800,18,1,54,1.981861677,0.01067148712;0.01805510732;0.007216589581;7.891503525,1.979931272;1.98787552;1.97777824,biomass;glucose;product;gp_nll,run_2;run_3;run_1,6.032188,0,,,1.981861677,6.032188,1.92289356,0,
19,800,19,1,57,1.961232156,0.009259613443;0.01734698597;0.006349448485;7.811972576,1.966233122;1.95964528;1.957818066,biomass;glucose;product;gp_nll,run_3;run_2;run_1,6.273260,0,,,1.961232156,6.273260,1.902901812,0,
