step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
1,800,1,1,3,0.2353983122,0.2290336429;0.2550722354;0.2220890582,0.383298112;0.1136488602;0.2092479643,biomass;glucose;product,run_3;run_1;run_2,0.006099,0,,,0.2353983122,0.006099,0.02958453115,0,
2,800,2,1,6,0.2325828889,0.2278930218;0.2505391874;0.2193164575,0.3788449989;0.2071485685;0.1117550993,biomass;glucose;product,run_3;run_2;run_1,0.003526,0,,,0.2325828889,0.003526,0.02922261881,0,
3,800,3,1,9,0.2294163664,0.2264046171;0.2457701751;0.2160743071,0.3738579798;0.1096156271;0.2047754924,biomass;glucose;product,run_3;run_1;run_2,0.002395,0,,,0.2294163664,0.002395,0.03592837747,0,
4,800,4,1,12,0.2254923217,0.223951315;0.2406639896;0.2118616604,0.2018103614;0.3677219697;0.1069446339,biomass;glucose;product,run_2;run_3;run_1,0.014785,0,,,0.2254923217,0.014785,0.05115955433,0,
5,800,5,1,15,0.2202160835,0.2200018105;0.234657091;0.205989349,0.1033482213;0.3595126889;0.1977873403,biomass;glucose;product,run_1;run_3;run_2,0.005457,0,,,0.2202160835,0.005457,0.07648782383,0,
6,800,6,1,18,0.2127765648,0.2138689731;0.2268863102;0.1975744112,0.09830895979;0.3479563392;0.1920643954,biomass;glucose;product,run_1;run_3;run_2,0.007083,0,,,0.2127765648,0.007083,0.1151664755,0,
7,800,7,1,21,0.2021558418,0.204700358;0.2161908892;0.1855762782,0.09120554364;0.3314453351;0.1838166467,biomass;glucose;product,run_1;run_3;run_2,0.008324,0,,,0.2021558418,0.008324,0.1716482479,0,
8,800,8,1,24,0.1871328551,0.1914392673;0.2011040038;0.1688552942,0.3080163192;0.1720172537;0.08136499226,biomass;glucose;product,run_3;run_2;run_1,0.011468,0,,,0.1871328551,0.011468,0.2510256618,0,
9,800,9,1,27,0.1662130723,0.1726849138;0.1797004304;0.1462538728,0.1553264442;0.2751560975;0.06815667529,biomass;glucose;product,run_2;run_3;run_1,0.014784,0,,,0.1662130723,0.014784,0.3590338035,0,
10,800,10,1,30,0.1373763203,0.1461238633;0.1494858355;0.1165192621,0.2291677902;0.1316744015;0.05128676918,biomass;glucose;product,run_3;run_2;run_1,0.011550,0,,,0.1373763203,0.011550,0.4961753844,0,
11,800,11,1,33,0.09992361399,0.1095846096;0.1097424787;0.08044375371,0.03332806523;0.1674543744;0.09898840233,biomass;glucose;product,run_1;run_3;run_2,0.009055,0,,,0.09992361399,0.009055,0.6012504119,0,
12,800,12,1,36,0.06246548775,0.06883608768;0.06858183233;0.04997854322,0.02880212773;0.06010655026;0.09848778524,biomass;glucose;product,run_1;run_2;run_3,0.026298,0,,,0.06246548775,0.026298,0.3868038986,0,
13,800,13,1,39,0.1056279048,0.1567882377;0.08058935599;0.07950612083,0.0479262755;0.1265845251;0.1423729138,biomass;glucose;product,run_2;run_1;run_3,0.024546,0,,,0.1056279048,0.024546,2.859710306,0,
14,800,14,1,42,0.07741808078,0.09966053207;0.07011245949;0.06248125078,0.08937548904;0.04194892497;0.1009298283,biomass;glucose;product,run_1;run_2;run_3,0.021721,0,,,0.07741808078,0.021721,1.625136355,0,
15,800,15,1,45,0.05512404489,0.06238079618;0.05608643375;0.04690490475,0.04274719709;0.07464725082;0.04797768676,biomass;glucose;product,run_2;run_3;run_1,0.012046,0,,,0.05512404489,0.012046,0.270613218,0,
16,800,16,1,48,0.05504466984,0.06662255117;0.05329831486;0.04521314348,0.03238346113;0.08233159858;0.0504189498,biomass;glucose;product,run_1;run_3;run_2,0.032573,0,,,0.05504466984,0.032573,0.2325312223,0,
17,800,17,1,51,0.06021749551,0.07796220118;0.05456792418;0.04812236116,0.09508491124;0.05825800823;0.02730956705,biomass;glucose;product,run_3;run_2;run_1,0.010260,0,,,0.06021749551,0.010260,0.3829699853,0,
18,800,18,1,54,0.06452238123,0.08679168766;0.05555757322;0.05121788281,0.06356387479;0.1040802785;0.02592299037,biomass;glucose;product,run_2;run_3;run_1,0.008680,0,,,0.06452238123,0.008680,0.4361066329,0,
19,800,19,1,57,0.06643289978,0.09177000806;0.05483442496;0.05269426633,0.1078756414;0.06575375845;0.02566929948,biomass;glucose;product,run_3;run_2;run_1,0.012883,0,,,0.06643289978,0.012883,0.4477549957,0,
20,800,20,1,60,0.06584618188,0.09306653181;0.05237394936;0.05209806448,0.02571169587;0.06505944473;0.106767405,biomass;glucose;product,run_1;run_2;run_3,0.009951,0,,,0.06584618188,0.009951,0.4358008277,0,
21,800,21,1,63,0.06323653249,0.09116580673;0.04886158414;0.04968220659,0.101659537;0.06199540155;0.02605465889,biomass;glucose;product,run_3;run_2;run_1,0.014235,0,,,0.06323653249,0.014235,0.4039508267,0,
22,800,22,1,66,0.05940292216,0.08664719246;0.04545676543;0.04610480858,0.02715740029;0.05724280762;0.09380855856,biomass;glucose;product,run_1;run_2;run_3,0.008418,0,,,0.05940292216,0.008418,0.349015837,0,
23,800,23,1,69,0.05539468292,0.08021703223;0.04366197996;0.04230503655,0.02970970565;0.0516750008;0.0847993423,biomass;glucose;product,run_1;run_2;run_3,0.009735,0,,,0.05539468292,0.009735,0.2655906796,0,
24,800,24,1,72,0.05236787527,0.07278602878;0.04497600916;0.03934158787,0.04633922024;0.03433892824;0.07642547733,biomass;glucose;product,run_2;run_1;run_3,0.007662,0,,,0.05236787527,0.007662,0.1519837145,0,
25,800,25,1,75,0.05119672965,0.06546218916;0.05008228419;0.03804571559,0.04223752903;0.07024087565;0.04111178426,biomass;glucose;product,run_2;run_3;run_1,0.014806,0,,,0.05119672965,0.014806,0.0383557516,0,
26,800,26,1,78,0.05188336172,0.05934487864;0.05775366067;0.03855154585,0.03986722768;0.06682842947;0.04895442801,biomass;glucose;product,run_2;run_3;run_1,0.015607,0,,,0.05188336172,0.015607,0.1432722162,0,
27,800,27,1,81,0.05325028433,0.05512127017;0.06457535226;0.04005423055,0.05557190826;0.0388512297;0.06532771503,biomass;glucose;product,run_1;run_2;run_3,0.024936,0,,,0.05325028433,0.024936,0.2548288239,0,
28,800,28,1,84,0.05361738107,0.05282608893;0.06681238405;0.04121367024,0.05854411809;0.06406319689;0.03824482824,biomass;glucose;product,run_1;run_3;run_2,0.016602,0,,,0.05361738107,0.016602,0.3034975297,0,
29,800,29,1,87,0.05216346209,0.05214814599;0.06326914527;0.04107309502,0.06209852892;0.0569837222;0.03740813516,biomass;glucose;product,run_3;run_1;run_2,0.010608,0,,,0.05216346209,0.010608,0.2790222621,0,
30,800,30,1,90,0.04944116232,0.05283057317;0.05588807836;0.03960483541,0.05990579201;0.05197102919;0.03644666575,biomass;glucose;product,run_3;run_1;run_2,0.021573,0,,,0.04944116232,0.021573,0.2019127463,0,
31,800,31,1,93,0.04660276219,0.05461006493;0.04776165983;0.03743656181,0.04548950509;0.05848648934;0.03583229214,biomass;glucose;product,run_1;run_3;run_2,0.009675,0,,,0.04660276219,0.009675,0.1052888296,0,
32,800,32,1,96,0.04447099906,0.05702282152;0.04112246927;0.03526770639,0.03584824467;0.03922121197;0.05834354054,biomass;glucose;product,run_2;run_1;run_3,0.009079,0,,,0.04447099906,0.009079,0.03897053328,0,
33,800,33,1,99,0.04323008252,0.05943871699;0.03674269177;0.03350883882,0.03638535713;0.03407023909;0.05923465135,biomass;glucose;product,run_2;run_1;run_3,0.014070,0,,,0.04323008252,0.014070,0.09094220139,0,
34,800,34,1,102,0.04259465862,0.06123104798;0.03432458284;0.03222834505,0.06045403835;0.0370609769;0.03026896061,biomass;glucose;product,run_3;run_2;run_1,0.009545,0,,,0.04259465862,0.009545,0.1487073494,0,
35,800,35,1,105,0.04210443949,0.06191758912;0.03311370102;0.03128202834,0.0612039958;0.02767585329;0.03743346938,biomass;glucose;product,run_3;run_1;run_2,0.011521,0,,,0.04210443949,0.011521,0.1878075576,0,
36,800,36,1,108,0.04135443155,0.06122882075;0.03235199072;0.03048248316,0.06086644169;0.02603128779;0.03716556515,biomass;glucose;product,run_3;run_1;run_2,0.025313,0,,,0.04135443155,0.025313,0.208253167,0,
37,800,37,1,111,0.04011293963,0.05912199703;0.03150425701;0.02971256486,0.0361002738;0.02510591511;0.05913262999,biomass;glucose;product,run_2;run_1;run_3,0.009073,0,,,0.04011293963,0.009073,0.2120744106,0,
