step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
1,400,1,1,2,0.1378526262,0.1344490859;0.1091043153;0.1700044773,0.1456629697;0.1300422827,biomass;glucose;product,T_run_1;T_run_2,0.005260,0,,,0.1378526262,0.005260,0.003817659814,0,
2,400,2,1,4,0.1373952003,0.1339862113;0.1087553479;0.1694440418,0.1451807916;0.1296096091,biomass;glucose;product,T_run_1;T_run_2,5.363057,0,,,0.1373952003,5.363057,0.003923533751,0,
3,400,3,1,6,0.1369240641,0.133509416;0.1083959386;0.1688668378,0.1446851045;0.1291630238,biomass;glucose;product,T_run_1;T_run_2,0.005756,0,,,0.1369240641,0.005756,0.004034357544,0,
4,400,4,1,8,0.1364386618,0.1330179804;0.1080255219;0.168272483,0.1287022934;0.1441750301,biomass;glucose;product,T_run_2;T_run_1,0.005241,0,,,0.1364386618,0.005241,0.004151107802,0,
5,400,5,1,10,0.1359380986,0.1325108234;0.1076432353;0.1676602371,0.1282267914;0.1436494058,biomass;glucose;product,T_run_2;T_run_1,0.004346,0,,,0.1359380986,0.004346,0.00427479784,0,
6,400,6,1,12,0.1354213673,0.1319865845;0.1072482769;0.1670292404,0.1431070224;0.1277357122,biomass;glucose;product,T_run_1;T_run_2,0.005465,0,,,0.1354213673,0.005465,0.004405734988,0,
7,400,7,1,14,0.1348874518,0.1314438093;0.1068398968;0.1663786492,0.1425468284;0.1272280751,biomass;glucose;product,T_run_1;T_run_2,0.004170,0,,,0.1348874518,0.004170,0.004544006196,0,
8,400,8,1,16,0.1343353529,0.1308812725;0.1064174279;0.1657073584,0.1267028968;0.141967809,biomass;glucose;product,T_run_2;T_run_1,0.005112,0,,,0.1343353529,0.005112,0.004689614325,0,
9,400,9,1,18,0.133764119,0.1302979245;0.1059802637;0.1650141689,0.1413689551;0.1261592829,biomass;glucose;product,T_run_1;T_run_2,0.004593,0,,,0.133764119,0.004593,0.004842628995,0,
10,400,10,1,20,0.1331727936,0.1296926951;0.105527765;0.1642979208,0.125596348;0.1407492392,biomass;glucose;product,T_run_2;T_run_1,0.004194,0,,,0.1331727936,0.004194,0.005003204125,0,
11,400,11,1,22,0.1325603801,0.1290644475;0.1050592431;0.1635574499,0.1250131518;0.1401076085,biomass;glucose;product,T_run_2;T_run_1,0.004067,0,,,0.1325603801,0.004067,0.005171541252,0,
12,400,12,1,24,0.131925833,0.128411991;0.1045739731;0.1627915349,0.1394429954;0.1244086706,biomass;glucose;product,T_run_1;T_run_2,0.005103,0,,,0.131925833,0.005103,0.005347858636,0,
13,400,13,1,26,0.1312680542,0.1277340897;0.1040711962;0.1619988766,0.1387542973;0.123781811,biomass;glucose;product,T_run_1;T_run_2,0.004329,0,,,0.1312680542,0.004329,0.005532392032,0,
14,400,14,1,28,0.1305858955,0.1270294747;0.10355011;0.1611781017,0.1380403239;0.123131467,biomass;glucose;product,T_run_1;T_run_2,0.005343,0,,,0.1305858955,0.005343,0.005725396174,0,
15,400,15,1,30,0.1298781565,0.1262968435;0.1030098581;0.1603277678,0.1372997837;0.1224565292,biomass;glucose;product,T_run_1;T_run_2,0.004873,0,,,0.1298781565,0.004873,0.00592716762,0,
16,400,16,1,32,0.1291435765,0.1255348387;0.1024495244;0.1594463665,0.1365313018;0.1217558512,biomass;glucose;product,T_run_1;T_run_2,0.006725,0,,,0.1291435765,0.006725,0.006138033318,0,
17,400,17,1,34,0.1283808271,0.1247420195;0.1018681337;0.1585323281,0.135733429;0.1210282253,biomass;glucose;product,T_run_1;T_run_2,0.004086,0,,,0.1283808271,0.004086,0.006358326047,0,
18,400,18,1,36,0.1275885174,0.1239168474;0.1012646643;0.1575840404,0.1349046406;0.1202723942,biomass;glucose;product,T_run_1;T_run_2,0.005310,0,,,0.1275885174,0.005310,0.006588350764,0,
19,400,19,1,38,0.1267652132,0.1230576961;0.1006380671;0.1565998765,0.1340433399;0.1194870865,biomass;glucose;product,T_run_1;T_run_2,0.005535,0,,,0.1267652132,0.005535,0.006828356921,0,
20,400,20,1,40,0.1259094592,0.1221628769;0.09998728436;0.1555782162,0.1331478734;0.1186710449,biomass;glucose;product,T_run_1;T_run_2,0.004272,0,,,0.1259094592,0.004272,0.007078523792,0,
21,400,21,1,42,0.1250197935,0.1212306697;0.09931126101;0.1545174497,0.117823029;0.132216558,biomass;glucose;product,T_run_2;T_run_1,0.004287,0,,,0.1250197935,0.004287,0.007338951783,0,
