process,total,biomass,glucose,product,split
H1_run_1,0.000481582,0.000500469,0.000358481,0.000585794,train
H1_run_2,0.00326941,0.00523038,0.00215437,0.00242346,train
H1_run_3,0.025402,0.037345,0.0131118,0.0257491,train
H1_run_4,0.00298475,0.00384994,0.002867,0.00223731,train
H1_run_5,0.0138848,0.0235454,0.00604804,0.012061,train
H1_run_6,0.0222842,0.032218,0.0168308,0.0178039,train
H2_run_1,0.00441684,0.00767927,0.00271559,0.00285567,train
H2_run_2,0.00811926,0.0141228,0.00447983,0.00575517,train
H2_run_3,0.0129588,0.022076,0.00437156,0.0124288,train
H2_run_4,0.00456522,0.00800528,0.00244844,0.00324194,train
H2_run_5,0.00538388,0.0087642,0.00339537,0.00399207,train
H2_run_6,0.00616346,0.0096915,0.00375699,0.0050419,train
H3_run_1,0.00724142,0.0126659,0.00321606,0.00584228,train
H3_run_2,0.00109733,0.00199245,0.000583124,0.000716426,train
H3_run_3,0.00103007,0.000675556,0.00223731,0.000177347,train
H3_run_4,0.00630242,0.00808351,0.00527269,0.00555106,train
H3_run_5,0.00689741,0.0134904,0.00383465,0.00336712,train
H3_run_6,0.00222049,0.00407646,0.000880449,0.00170456,train
H4_run_1,0.00505862,0.00831371,0.00296055,0.00390161,train
H4_run_2,0.00121465,0.00193426,0.00128146,0.000428237,train
H4_run_3,0.00360725,0.0050846,0.0025315,0.00320565,train
H4_run_4,0.00374072,0.00533808,0.00297298,0.00291109,train
H4_run_5,0.00961569,0.0145045,0.00563403,0.00870852,train
H4_run_6,0.00149038,0.00218482,0.000866722,0.00141959,train
T_run_1,0.000571043,0.00111229,0.000445599,0.000155239,train
T_run_2,0.000255131,0.000130186,0.000482032,0.000153175,train
total (mean),0.00616373,0.00971597,0.00368221,0.005093,
train (mean),0.00616373,0.00971597,0.00368221,0.005093,train
