step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
1,400,1,1,26,0.05907913709,0.06961748914;0.03656155006;0.07105837208,0.01921354973;0.09811007147;0.01345538503;0.04842718908;0.03778600705;0.1148444084;0.04233122784;0.09355846639;0.1053352459;0.01147601036;0.04783351123;0.09177383311;0.0721467755;0.03481870092;0.03616985274;0.04363653105;0.04529293394;0.04312174752;0.02869996848;0.174481355;0.04398977867;0.01450417427;0.09650933549;0.01792817979;0.0760898472;0.08452347813,biomass;glucose;product,H4_run_2;H1_run_5;H2_run_5;H2_run_6;T_run_2;H1_run_3;T_run_1;H2_run_1;H3_run_5;H4_run_6;H1_run_4;H4_run_4;H2_run_3;H1_run_1;H4_run_3;H3_run_1;H4_run_1;H3_run_2;H2_run_2;H1_run_6;H3_run_6;H3_run_3;H4_run_5;H2_run_4;H1_run_2;H3_run_4,0.037462,0,,,0.05907913709,0.037462,0.002243473486,0,
2,400,2,1,52,0.05880227838,0.06925891378;0.03640761293;0.07074030843,0.09783709522;0.04492608849;0.1145220168;0.03764609848;0.09126055179;0.02848860628;0.03596913933;0.04811484703;0.07581607187;0.01909923695;0.01336453103;0.09596183424;0.04216781834;0.09294804254;0.01446822987;0.04770001309;0.04286538749;0.1738339483;0.1048663711;0.04382487296;0.01781340508;0.0114081932;0.03452748019;0.07164924849;0.04349975029;0.08428035938,biomass;glucose;product,H1_run_5;H4_run_1;H1_run_3;T_run_2;H4_run_4;H2_run_2;H4_run_3;H2_run_6;H1_run_2;H4_run_2;H2_run_5;H4_run_5;T_run_1;H2_run_1;H3_run_3;H1_run_4;H3_run_2;H1_run_6;H3_run_5;H3_run_6;H2_run_4;H4_run_6;H1_run_1;H2_run_3;H3_run_1;H3_run_4,5.483880,0,,,0.05880227838,5.483880,0.002346855286,0,
3,400,3,1,78,0.05851425749,0.06888602285;0.0362472937;0.07040945591,0.09231215785;0.09072608812;0.09539113999;0.01769309026;0.03750074243;0.09755298272;0.07112937928;0.03422710646;0.01133713773;0.02826779662;0.0755308285;0.1731610912;0.0357597488;0.01443100547;0.01897951987;0.1043814379;0.01326926286;0.08402769297;0.1141868745;0.04756136676;0.04199821146;0.04260086287;0.04778895811;0.04365388201;0.04335765262;0.04454467732,biomass;glucose;product,H2_run_1;H4_run_4;H4_run_5;H2_run_4;T_run_2;H1_run_5;H2_run_3;H1_run_1;H4_run_6;H2_run_2;H1_run_2;H1_run_6;H4_run_3;H3_run_3;H4_run_2;H3_run_5;H2_run_5;H3_run_4;H1_run_3;H1_run_4;T_run_1;H3_run_2;H2_run_6;H3_run_6;H3_run_1;H4_run_1,0.047827,0,,,0.05851425749,0.047827,0.002455456744,0,
4,400,4,1,104,0.05821450738,0.06849785752;0.03608029884;0.07006536578,0.02803716583;0.0474173074;0.0355412084;0.1724613375;0.03734926181;0.1038798632;0.09725705184;0.07523357218;0.01439243313;0.113838244;0.03391745539;0.04232801592;0.04414826289;0.09016935425;0.04744882175;0.01316934774;0.04347661018;0.0705859919;0.0432100367;0.01756690018;0.08376497709;0.0112626727;0.09479599454;0.01885407227;0.04182166126;0.09164957183,biomass;glucose;product,H2_run_2;H1_run_4;H4_run_3;H1_run_6;T_run_2;H3_run_5;H1_run_5;H1_run_2;H3_run_3;H1_run_3;H1_run_1;H3_run_2;H4_run_1;H4_run_4;H2_run_6;H2_run_5;H3_run_6;H2_run_3;H3_run_1;H2_run_4;H3_run_4;H4_run_6;H4_run_5;H4_run_2;T_run_1;H2_run_1,0.042933,0,,,0.05821450738,0.042933,0.002569558156,0,
5,400,5,1,130,0.05790244103,0.06809368873;0.03590630032;0.06970733404,0.01743452711;0.04329310302;0.09095812147;0.01306467077;0.04373691392;0.0895884824;0.09694838531;0.09417466662;0.01435238023;0.04726728937;0.1134749612;0.07001808461;0.0371909532;0.07492404082;0.04204707948;0.03359889026;0.04709323829;0.04163737609;0.1033615131;0.1717333;0.03531273605;0.01872262103;0.08349189518;0.02779664658;0.0111847058;0.04305688483,biomass;glucose;product,H2_run_4;H3_run_6;H2_run_1;H2_run_5;H4_run_1;H4_run_4;H1_run_5;H4_run_5;H3_run_3;H1_run_4;H1_run_3;H2_run_3;T_run_2;H1_run_2;H3_run_2;H1_run_1;H2_run_6;T_run_1;H3_run_5;H1_run_6;H4_run_3;H4_run_2;H3_run_4;H2_run_2;H4_run_6;H3_run_1,0.040648,0,,,0.05790244103,0.040648,0.002689310208,0,
6,400,6,1,156,0.05757744902,0.06767273461;0.03572495432;0.06933465813,0.01858487384;0.0414447014;0.0370252891;0.1028260639;0.07460183485;0.09662611071;0.03507357878;0.01110310374;0.01295506793;0.02754601933;0.1130959313;0.1709757012;0.09023585184;0.04711078011;0.09352558564;0.08898176456;0.08320805877;0.01729565011;0.04672106966;0.04289805196;0.06942470127;0.03327145411;0.04175801148;0.0143107168;0.04331046583;0.04310323634,biomass;glucose;product,H4_run_2;T_run_1;T_run_2;H3_run_5;H1_run_2;H1_run_5;H4_run_3;H4_run_6;H2_run_5;H2_run_2;H1_run_3;H1_run_6;H2_run_1;H1_run_4;H4_run_5;H4_run_4;H3_run_4;H2_run_4;H2_run_6;H3_run_1;H2_run_3;H1_run_1;H3_run_2;H3_run_3;H4_run_1;H3_run_6,0.041614,0,,,0.05757744902,0.041614,0.002814839647,0,
7,400,7,1,182,0.0572388485,0.06723404365;0.03553588757;0.06894661428,0.08291296494;0.04290681128;0.1127000128;0.0412429692;0.08834746998;0.09284708483;0.08948080024;0.04694725088;0.07426642226;0.1701870369;0.06880470382;0.02728497377;0.04146067276;0.036851711;0.03482296347;0.04273332738;0.1022730137;0.01284032467;0.01426731247;0.01844048075;0.01714989442;0.04633116132;0.09628928625;0.04286862459;0.03293509206;0.01101769525,biomass;glucose;product,H3_run_4;H3_run_6;H1_run_3;T_run_1;H4_run_4;H4_run_5;H2_run_1;H1_run_4;H1_run_2;H1_run_6;H2_run_3;H2_run_2;H3_run_2;T_run_2;H4_run_3;H3_run_1;H3_run_5;H2_run_5;H3_run_3;H4_run_2;H2_run_4;H2_run_6;H1_run_5;H4_run_1;H1_run_1;H4_run_6,0.047686,0,,,0.0572388485,0.047686,0.002946366871,0,
8,400,8,1,208,0.05688585671,0.06677649074;0.0353386815;0.06854239788,0.09213738754;0.0425624136;0.1017016054;0.03456010287;0.09593690345;0.04592234881;0.03258960285;0.01699682292;0.0366695436;0.06815671963;0.07391709626;0.02701306423;0.01092825983;0.1693655261;0.04103141652;0.1122860267;0.04677618737;0.01422203964;0.0886909975;0.08768384901;0.04270352865;0.04241089046;0.0127201598;0.08260596845;0.04115478854;0.01828902465,biomass;glucose;product,H4_run_5;H3_run_1;H3_run_5;H4_run_3;H1_run_5;H2_run_6;H1_run_1;H2_run_4;T_run_2;H2_run_3;H1_run_2;H2_run_2;H4_run_6;H1_run_6;T_run_1;H1_run_3;H1_run_4;H3_run_3;H2_run_1;H4_run_4;H3_run_6;H4_run_1;H2_run_5;H3_run_4;H3_run_2;H4_run_2,0.041883,0,,,0.05688585671,0.041883,0.003084188439,0,
9,400,9,1,234,0.05651758756,0.06629882703;0.03513285832;0.06812107734,0.08228630216;0.01813002805;0.03428416583;0.03647808163;0.01259422662;0.02672969793;0.04193653612;0.04549341473;0.09139459765;0.09556787342;0.07355298855;0.1011108453;0.08786440387;0.01083452931;0.0424929796;0.0141747652;0.06747919187;0.1118527203;0.03223459047;0.04238492378;0.04659705434;0.1685091627;0.04080925727;0.08698907508;0.04083992238;0.01683594256,biomass;glucose;product,H3_run_4;H4_run_2;H4_run_3;T_run_2;H2_run_5;H2_run_2;H4_run_1;H2_run_6;H4_run_5;H1_run_5;H1_run_2;H3_run_5;H2_run_1;H4_run_6;H3_run_6;H3_run_3;H2_run_3;H1_run_3;H1_run_1;H3_run_1;H1_run_4;H1_run_6;T_run_1;H4_run_4;H3_run_2;H2_run_4,0.054812,0,,,0.05651758756,0.054812,0.003228585429,0,
10,400,10,1,260,0.05613309273,0.0657997697;0.03491789992;0.06768160858,0.04640926643;0.01412534373;0.04057577354;0.09518101954;0.03399425902;0.01796297981;0.1004996414;0.06677048376;0.04220042482;0.01666672664;0.03186955948;0.07317314607;0.01246214705;0.04051555828;0.09061671364;0.03627667775;0.0819531368;0.08626120843;0.08699887283;0.1676158186;0.04227469878;0.02643421074;0.04144473341;0.1113987391;0.01073620971;0.04504306168,biomass;glucose;product,H1_run_4;H3_run_3;T_run_1;H1_run_5;H4_run_3;H4_run_2;H3_run_5;H2_run_3;H3_run_1;H2_run_4;H1_run_1;H1_run_2;H2_run_5;H3_run_2;H4_run_5;T_run_2;H3_run_4;H4_run_4;H2_run_1;H1_run_6;H3_run_6;H2_run_2;H4_run_1;H1_run_3;H4_run_6;H2_run_6,0.047991,0,,,0.05613309273,0.047991,0.003379743381,0,
