step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
1,400,1,1,3,0.09188447976,0.07406731395;0.1097016456,0.07783424839;0.08290573955;0.1149134513,biomass;glyco_frac,run_3;run_1;run_2,0.002576,0,,,0.09188447976,0.002576,0.09725147898,0,
2,400,2,1,6,0.08969079377,0.0735031521;0.1058784354,0.07564540592;0.112669055;0.08075792035,biomass;glyco_frac,run_3;run_2;run_1,4.183690,0,,,0.08969079377,4.183690,0.09597246549,0,
3,400,3,1,9,0.08751591986,0.07291970899;0.1021121307,0.07348184768;0.07863175177;0.1104341601,biomass;glyco_frac,run_3;run_1;run_2,0.003048,0,,,0.08751591986,0.003048,0.09465355982,0,
4,400,4,1,12,0.08536076549,0.07231589504;0.09840563593,0.1082091425;0.07134486165;0.07652829229,biomass;glyco_frac,run_2;run_3;run_1,0.002243,0,,,0.08536076549,0.002243,0.09329826395,0,
5,400,5,1,15,0.08322615602,0.07169054323;0.09476176881,0.0744485265;0.06923567095;0.1059942706,biomass;glyco_frac,run_1;run_3;run_2,0.002926,0,,,0.08322615602,0.002926,0.09191033472,0,
6,400,6,1,18,0.08111282447,0.07104240378;0.09118324516,0.07239335528;0.06715542439;0.1037896937,biomass;glyco_frac,run_1;run_3;run_2,0.002819,0,,,0.08111282447,0.002819,0.09049378737,0,
7,400,7,1,21,0.07902140102,0.0703701384;0.08767266364,0.070363586;0.06510518693;0.1015954301,biomass;glyco_frac,run_1;run_3;run_2,0.002933,0,,,0.07902140102,0.002933,0.0890528995,0,
8,400,8,1,24,0.07695240267,0.06967231427;0.08423249107,0.06308593021;0.09941135503;0.06835992276,biomass;glyco_frac,run_3;run_2;run_1,0.002343,0,,,0.07695240267,0.002343,0.08759221547,0,
9,400,9,1,27,0.07490622284,0.06894739748;0.0808650482,0.09723718838;0.06109852342;0.06638295673,biomass;glyco_frac,run_2;run_3;run_1,0.003077,0,,,0.07490622284,0.003077,0.0861165514,0,
10,400,10,1,30,0.07288312125,0.06819374621;0.07757249629,0.05914372425;0.09507248273;0.06443315678,biomass;glyco_frac,run_3;run_2;run_1,0.002732,0,,,0.07288312125,0.002732,0.08463100114,0,
11,400,11,1,33,0.07088321401,0.06740960344;0.07435682458,0.06251086042;0.05722217042;0.09291661119,biomass;glyco_frac,run_1;run_3;run_2,0.002879,0,,,0.07088321401,0.002879,0.08314094309,0,
12,400,12,1,36,0.06890646412,0.06659308926;0.07121983899,0.06061626521;0.09076875553;0.05533437163,biomass;glyco_frac,run_1;run_2;run_3,0.002880,0,,,0.06890646412,0.002880,0.08165204842,0,
