run,time_h,biomass_gL,glucose_gL,product_gL
run_1,0.0,0.1000,10.0000,0.0000
run_1,1.0,0.1613,9.8987,0.0052
run_1,2.0,0.2452,9.9369,0.0135
run_1,3.0,0.3831,8.6197,0.0272
run_1,4.0,0.6045,9.4939,0.0465
run_1,5.0,0.9465,7.8949,0.0791
run_1,6.0,1.4373,7.0528,0.1218
run_1,7.0,2.2987,5.2291,0.2056
run_1,8.0,3.5031,2.0724,0.3178
run_1,9.0,4.3707,0.0000,0.4230
run_1,10.0,4.8063,0.0000,0.4165
run_1,11.0,4.4439,0.0000,0.4214
run_1,12.0,4.1604,0.0000,0.4174
run_1,13.0,4.3090,0.0000,0.4095
run_1,14.0,4.6623,0.0000,0.4153
run_2,0.0,0.0800,15.0000,0.0000
run_2,1.0,0.1264,14.7060,0.0045
run_2,2.0,0.2004,14.8487,0.0110
run_2,3.0,0.3117,13.9766,0.0215
run_2,4.0,0.4824,13.3120,0.0373
run_2,5.0,0.7427,13.7816,0.0617
run_2,6.0,1.2014,12.2458,0.1021
run_2,7.0,1.9136,11.3927,0.1637
run_2,8.0,2.9458,8.8852,0.2484
run_2,9.0,4.6035,5.0240,0.4252
run_2,10.0,7.2092,0.0000,0.6213
run_2,11.0,6.5357,0.0000,0.6142
run_2,12.0,6.7820,0.0000,0.6204
run_2,13.0,6.6671,0.0000,0.5972
run_2,14.0,6.6198,0.0000,0.6331
run_3,0.0,0.1200,20.0000,0.0000
run_3,1.0,0.1785,19.2227,0.0064
run_3,2.0,0.2880,19.8933,0.0160
run_3,3.0,0.4641,19.2804,0.0317
run_3,4.0,0.7164,18.4221,0.0555
run_3,5.0,1.1005,17.1369,0.0958
run_3,6.0,1.7425,17.2030,0.1555
run_3,7.0,2.7530,14.4071,0.2522
run_3,8.0,4.3774,10.8268,0.3856
run_3,9.0,7.1102,4.7374,0.6047
run_3,10.0,8.9783,0.0000,0.8043
run_3,11.0,8.8299,0.0000,0.8337
run_3,12.0,8.6492,0.0000,0.8234
run_3,13.0,9.1074,0.0000,0.8607
run_3,14.0,8.8443,0.0000,0.8204
